model,feature,importance,feature_type
Random Forest,Morgan_bit_319,0.0007190120000700852,Morgan fingerprint
Random Forest,Morgan_bit_320,5.608018119893381e-05,Morgan fingerprint
Random Forest,Morgan_bit_321,0.00034391564107524235,Morgan fingerprint
Random Forest,Morgan_bit_322,0.000824443275824074,Morgan fingerprint
Random Forest,Morgan_bit_323,0.0004184078535614937,Morgan fingerprint
Random Forest,Morgan_bit_324,0.00023552203998904013,Morgan fingerprint
Random Forest,Morgan_bit_325,0.0007426339994514586,Morgan fingerprint
Random Forest,Morgan_bit_326,0.00025792711726479474,Morgan fingerprint
Random Forest,Morgan_bit_327,0.00010872665617082812,Morgan fingerprint
Random Forest,Morgan_bit_328,0.00033646250480976906,Morgan fingerprint
Random Forest,Morgan_bit_329,0.0001804706553387653,Morgan fingerprint
Random Forest,Morgan_bit_330,0.00020553499394794034,Morgan fingerprint
Random Forest,Morgan_bit_331,0.00014747036042028015,Morgan fingerprint
Random Forest,Morgan_bit_332,0.0005203234498380046,Morgan fingerprint
Random Forest,Morgan_bit_333,0.0005206551777696549,Morgan fingerprint
Random Forest,Morgan_bit_334,0.00028584409420199115,Morgan fingerprint
Random Forest,Morgan_bit_335,0.0005175343915371311,Morgan fingerprint
Random Forest,Morgan_bit_336,0.00014695881377145445,Morgan fingerprint
Random Forest,Morgan_bit_337,2.923236996811423e-05,Morgan fingerprint
Random Forest,Morgan_bit_338,0.0006912156039795027,Morgan fingerprint
Random Forest,Morgan_bit_339,0.0001425576111517649,Morgan fingerprint
Random Forest,Morgan_bit_340,0.000180502135477077,Morgan fingerprint
Random Forest,Morgan_bit_341,0.000150856850846379,Morgan fingerprint
Random Forest,Morgan_bit_342,0.00023552641264397073,Morgan fingerprint
Random Forest,Morgan_bit_343,0.0007673783631888364,Morgan fingerprint
Random Forest,Morgan_bit_344,0.00014704567772774046,Morgan fingerprint
Random Forest,Morgan_bit_345,0.0002689256852949557,Morgan fingerprint
Random Forest,Morgan_bit_346,0.00018360735060065717,Morgan fingerprint
Random Forest,Morgan_bit_347,0.00012309189900924138,Morgan fingerprint
Random Forest,Morgan_bit_348,0.0003196061180870739,Morgan fingerprint
Random Forest,Morgan_bit_349,0.00014456303071332593,Morgan fingerprint
